"Facebook Comment","Facebook Comment"
"Afrikaans (South Africa)","Afrikaans (South Africa)"
"Albanian (Albania)","Albanian (Albania)"
"Arabic ()","Arabic ()"
"Armenian (Armenia)","Armenian (Armenia)"
"Assamese (India)","Assamese (India)"
"Azerbaijani (Azerbaijan)","Azerbaijani (Azerbaijan)"
"Basque (Spain)","Basque (Spain)"
"Belarusian (Belarus)","Belarusian (Belarus)"
"Bengali (India)","Bengali (India)"
"Bosnian (Bosnia & Herzegovina)","Bosnian (Bosnia & Herzegovina)"
"Breton (France)","Breton (France)"
"Bulgarian (Bulgaria)","Bulgarian (Bulgaria)"
"Burmese (Myanmar (Burma))","Burmese (Myanmar (Burma))"
"Catalan (Spain)","Catalan (Spain)"
"Chinese (China)","Chinese (China)"
"Chinese (Hong Kong SAR China)","Chinese (Hong Kong SAR China)"
"Chinese (Taiwan)","Chinese (Taiwan)"
"Corsican (France)","Corsican (France)"
"Croatian (Croatia)","Croatian (Croatia)"
"Cx (Philippines)","Cx (Philippines)"
"Czech (Czech Republic)","Czech (Czech Republic)"
"Danish (Denmark)","Danish (Denmark)"
"Detail Tab Title","Detail Tab Title"
"Dutch (Belgium)","Dutch (Belgium)"
"Dutch (Netherlands)","Dutch (Netherlands)"
"Enable Module","Enable Module"
"English (United Kingdom)","English (United Kingdom)"
"English (United States)","English (United States)"
"English (Upside Down)","English (Upside Down)"
"Estonian (Estonia)","Estonian (Estonia)"
"Facebook App ID","Facebook App ID"
"Facebook Locale","Facebook Locale"
"Facebook Theme Scheme","Facebook Theme Scheme"
"Faroese (Faroe Islands)","Faroese (Faroe Islands)"
"ff_NG","ff_NG"
"Finnish (Finland)","Finnish (Finland)"
"French (Canada)","French (Canada)"
"French (France)","French (France)"
"Galician (Spain)","Galician (Spain)"
"Georgian (Georgia)","Georgian (Georgia)"
"German (Germany)","German (Germany)"
"GN (Paraguay)","GN (Paraguay)"
"Greek (Greece)","Greek (Greece)"
"Gujarati (India)","Gujarati (India)"
"Hausa (Nigeria)","Hausa (Nigeria)"
"Hebrew (Israel)","Hebrew (Israel)"
"Highest quality comments(Default)","Highest quality comments(Default)"
"Hindi (India)","Hindi (India)"
"Hungarian (Hungary)","Hungarian (Hungary)"
"Icelandic (Iceland)","Icelandic (Iceland)"
"Indonesian (Indonesia)","Indonesian (Indonesia)"
"Irish (Ireland)","Irish (Ireland)"
"Italian (Italy)","Italian (Italy)"
"ja_KS","ja_KS"
"Japanese (Japan)","Japanese (Japan)"
"Javanese (India)","Javanese (India)"
"Kannada (India)","Kannada (India)"
"Kazakh (Kazakhstan)","Kazakh (Kazakhstan)"
"Khmer (Cambodia)","Khmer (Cambodia)"
"Kinyarwanda (Rwanda)","Kinyarwanda (Rwanda)"
"Korean (South Korea)","Korean (South Korea)"
"Kurd (Iraq)","Kurd (Iraq)"
"Kurdish (Turkey)","Kurdish (Turkey)"
"Latvian (Latvia)","Latvian (Latvia)"
"Lithuanian (Lithuania)","Lithuanian (Lithuania)"
"Macedonian (Macedonia)","Macedonian (Macedonia)"
"Malagasy (Madagascar)","Malagasy (Madagascar)"
"Malay (Malaysia)","Malay (Malaysia)"
"Malayalam (India)","Malayalam (India)"
"Maltese (Malta)","Maltese (Malta)"
"Marathi (India)","Marathi (India)"
"Mongolian (Mongolia)","Mongolian (Mongolia)"
"Nepali (Nepal)","Nepali (Nepal)"
"Newest comments at the top","Newest comments at the top"
"Norwegian Bokmål (Norway)","Norwegian Bokmål (Norway)"
"Norwegian Nynorsk (Norway)","Norwegian Nynorsk (Norway)"
"Number of Post on Current View","Number of Post on Current View"
"Oldest comments at the top","Oldest comments at the top"
"Order By","Order By"
"Oriya (India)","Oriya (India)"
"Pashto (Afghanistan)","Pashto (Afghanistan)"
"Persian (Iran)","Persian (Iran)"
"Polish (Poland)","Polish (Poland)"
"Portuguese (Brazil)","Portuguese (Brazil)"
"Portuguese (Portugal)","Portuguese (Portugal)"
"Product Facebook Comment","Product Facebook Comment"
"Punjabi (India)","Punjabi (India)"
"Romanian (Romania)","Romanian (Romania)"
"Russian (Russia)","Russian (Russia)"
"Sardinian (Italy)","Sardinian (Italy)"
"Serbian (Serbia)","Serbian (Serbia)"
"Show Avatar Face","Show Avatar Face"
"Sinhala (Sri Lanka)","Sinhala (Sri Lanka)"
"Slovak (Slovakia)","Slovak (Slovakia)"
"Slovenian (Slovenia)","Slovenian (Slovenia)"
"Somali (Somalia)","Somali (Somalia)"
"Spanish (Laos)","Spanish (Laos)"
"Spanish (Spain)","Spanish (Spain)"
"Swahili (Kenya)","Swahili (Kenya)"
"Swedish (Sweden)","Swedish (Sweden)"
"sz_PL","sz_PL"
"Tagalog (Philippines)","Tagalog (Philippines)"
"Tajik (Tajikistan)","Tajik (Tajikistan)"
"Tamil (India)","Tamil (India)"
"Telugu (India)","Telugu (India)"
"Thai (Thailand)","Thai (Thailand)"
"Turkish (Turkey)","Turkish (Turkey)"
"tz_MA","tz_MA"
"Ukrainian (Ukraine)","Ukrainian (Ukraine)"
"Urdu (Pakistan)","Urdu (Pakistan)"
"Uzbek (Uzbekistan)","Uzbek (Uzbekistan)"
"Vietnamese (Vietnam)","Vietnamese (Vietnam)"
"Welsh (United Kingdom)","Welsh (United Kingdom)"
"Western Frisian (Netherlands)","Western Frisian (Netherlands)"
"Zawgyi (Myanmar (Burma))","Zawgyi (Myanmar (Burma))"
